maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,168.233333333333,198.105128205128,141.855555555556,1,2,2.62678381884656,2.51397570468216,2.42670126194127
226.5,92.1,0,0,3,9,0,0,0
178.166666666667,121.733333333333,0,0,4,12,0,0,0
211.966666666667,151.966666666667,0,0,5,14,0,0,0
210.666666666667,127.566666666667,0,0,6,15,0,0,0
210.333333333333,162,0,0,7,16,0,0,0
232.366666666667,201.733333333333,0,0,8,17,0,0,0
262.133333333333,174.433333333333,0,0,9,19,0,0,0
146.166666666667,130.1,0,0,16,20,0,0,0
185.5,111.8,0,0,17,21,0,0,0
242.666666666667,151.933333333333,0,0,22,23,0,0,0
142.066666666667,108.666666666667,0,0,23,0,0,0,0
135.166666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
